"lon","lat","Class"
-86.161,39.4862,"A"
-86.11,39.38,"A"
-87.3203,38.01,"A"
-87.23335,39.8679,"A"
-86.57665,39.01166,"A"
-86.46065,39.32117,"A"
-86.64338,38.12318,"A"
-84.971,39.17295,"A"
-86.25349,38.6899,"A"
-85.69739,40.54919,"A"
-85.3532,40.8179,"A"
-85.5481,39.45697,"A"
-94.72448,37.81005,"A"
-96.9614,39.1489,"A"
-95.0802,37.0504,"A"
-94.6837,38.6234,"A"
-96.8223,39.1463,"A"
-97.60829,37.52947,"A"
-97.40294,37.64103,"A"
-95.84024,39.33292,"A"
-95.7455,37.192,"A"
-95.2577,38.9142,"A"
-97.3374,37.0581,"A"
-95.91632,37.2974,"A"
-95.6491,38.3908,"A"
-95.747,39.072,"A"
-96.44296,38.62563,"A"
-88.41175,36.8207,"A"
-83.67952,37.7764,"A"
-84.92358,37.3181,"A"
-84.97527,37.95708,"A"
-82.7989,38.53187,"A"
-82.88309,37.94235,"A"
-82.74628,37.77591,"A"
-88.9949,36.9372,"A"
-83.66641,36.7999,"A"
-87.89844,37.34029,"A"
-84.2552,37.53705,"A"
-84.1989,37.89508,"A"
-83.9311,38.45795,"A"
-85.0016,38.44148,"A"
-87.02245,36.89478,"A"
-86.98705,37.05575,"A"
-83.83695,38.51465,"A"
-83.80266,38.63454,"A"
-84.28714,37.57039,"A"
-83.25562,37.37814,"A"
-82.69576,37.26532,"A"
-82.64877,38.42968,"A"
-82.43635,37.83777,"A"
-84.33998,36.66257,"A"
-83.32354,38.56277,"A"
-82.83425,38.02825,"A"
-83.81139,37.82708,"A"
-84.588,38.528,"A"
-83.0452,36.9265,"A"
-82.83278,38.02653,"A"
-87.96917,37.75972,"A"
-88.15556,36.82806,"A"
-87.89472,36.75139,"A"
-83.95846,37.0787,"A"
-83.9769,37.06226,"A"
-87.52757,37.29395,"A"
-87.344,37.6095,"A"
-83.85683,36.67311,"A"
-83.89224,37.49582,"A"
-83.46259,38.05703,"A"
-84.67017,38.90649,"A"
